Week,Consumer demand
1,8
2,13
3,7
4,8
5,6
6,6
7,7
8,10
9,18
10,23
11,22
12,20
13,19
14,22
15,19
16,24
17,19
18,20
19,21
20,24
21,24
22,25
23,25
24,18
25,23
26,19
27,20
28,24
29,21
30,24
31,25
32,23
33,24
34,18
35,18
36,19
37,20
38,21
39,18
40,25
41,6
42,10
43,13
44,11
45,7
46,13
47,8
48,11
49,20
50,20
51,24
52,23
53,24
54,21
55,22
56,20
57,19
58,20
59,22
60,24
61,24
62,21
63,22
64,23
65,20
66,22
67,21
68,18
69,22
70,18
71,18
72,24
73,23
74,23
75,24
76,24
77,22
78,20
79,25
80,21
81,7
82,10
83,11
84,9
85,9
86,13
87,12
88,7
89,22
90,21
91,24
92,18
93,20
94,21
95,24
96,25
97,24
98,22
99,22
100,21
101,23
102,25
103,19
104,22
105,19
106,20
107,22
108,24
109,23
110,24
111,25
112,20
113,23
114,23
115,23
116,24
117,25
118,21
119,21
120,22
121,8
122,7
123,7
124,8
125,9
126,13
127,8
128,13
129,23
130,22
131,24
132,24
133,18
134,22
135,21
136,23
137,19
138,22
139,21
140,18
141,18
142,18
143,18
144,19
145,25
146,24
147,22
148,22
149,21
150,23
151,20
152,18
153,22
154,20
155,21
156,19
157,21
158,22
159,23
160,24
161,8
162,9
163,7
164,8
165,11
166,12
167,13
168,9
169,23
170,19
171,22
172,23
173,23
174,22
175,25
176,25
177,22
178,21
179,21
180,22
181,25
182,19
183,20
184,19
185,19
186,24
187,25
188,18
189,18
190,18
191,22
192,25
193,21
194,20
195,23
196,22
197,22
198,24
199,22
200,21
201,10
202,11
203,6
204,9
205,8
206,6
207,9
208,6
209,25
210,18
211,21
212,21
213,19
214,21
215,18
216,25
217,22
218,18
219,23
220,21
221,22
222,25
223,20
224,18
225,24
226,18
227,23
228,22
229,18
230,23
231,18
232,25
233,18
234,19
235,24
236,19
237,20
238,20
239,20
240,21
241,12
242,8
243,9
244,13
245,9
246,11
247,6
248,8
249,20
250,22
251,22
252,22
253,20
254,25
255,19
256,18
257,23
258,22
259,25
260,22
261,18
262,18
263,23
264,23
265,21
266,21
267,23
268,20
269,23
270,25
271,20
272,20
273,24
274,24
275,23
276,25
277,20
278,18
279,20
280,24
281,6
282,12
283,9
284,11
285,13
286,7
287,7
288,11
289,20
290,21
291,22
292,25
293,21
294,18
295,18
296,19
297,24
298,24
299,22
300,24
301,19
302,18
303,23
304,24
305,23
306,23
307,24
308,19
309,21
310,24
311,24
312,18
313,25
314,21
315,24
316,21
317,18
318,25
319,18
320,21
321,7
322,12
323,8
324,10
325,11
326,8
327,12
328,7
329,22
330,19
331,18
332,23
333,24
334,18
335,24
336,25
337,25
338,23
339,23
340,23
341,20
342,20
343,24
344,18
345,18
346,19
347,18
348,24
349,24
350,20
351,20
352,24
353,25
354,19
355,18
356,25
357,25
358,23
359,24
360,20
361,8
362,9
363,13
364,8
365,8
366,11
367,11
368,13
369,19
370,21
371,22
372,22
373,24
374,19
375,19
376,18
377,19
378,20
379,19
380,23
381,22
382,23
383,24
384,20
385,23
386,20
387,18
388,25
389,23
390,21
391,24
392,22
393,18
394,24
395,23
396,25
397,21
398,24
399,25
400,19
401,9
402,7
403,6
404,8
405,9
406,10
407,11
408,6
409,20
410,24
411,19
412,20
413,23
414,19
415,22
416,22
417,24
418,25
419,24
420,24
421,21
422,18
423,19
424,22
425,19
426,19
427,19
428,18
429,23
430,18
431,22
432,20
433,25
434,22
435,23
436,23
437,25
438,20
439,18
440,19
441,6
442,6
443,11
444,7
445,10
446,12
447,9
448,8
449,22
450,22
451,20
452,18
453,20
454,23
455,23
456,22
457,20
458,25
459,22
460,25
461,20
462,21
463,19
464,25
465,24
466,25
467,22
468,19
469,21
470,23
471,22
472,22
473,23
474,19
475,24
476,21
477,20
478,23
479,20
480,24
481,13
482,11
483,7
484,12
485,7
486,10
487,10
488,13
489,22
490,25
491,25
492,25
493,19
494,24
495,20
496,24
497,18
498,23
499,19
500,18
501,23
502,23
503,23
504,23
505,18
506,22
507,25
508,20
509,25
510,18
511,19
512,22
513,21
514,19
515,18
516,18
517,23
518,25
519,18
520,22
521,8
522,13
523,11
524,13
525,11
526,10
527,13
528,7
529,18
530,19
531,19
532,25
533,25
534,22
535,19
536,24
537,25
538,23
539,19
540,18
541,19
542,22
543,18
544,20
545,22
546,23
547,23
548,20
549,23
550,25
551,24
552,18
553,24
554,24
555,18
556,19
557,18
558,25
559,23
560,18
561,12
562,7
563,10
564,13
565,13
566,9
567,12
568,12
569,22
570,25
571,25
572,21
573,19
574,24
575,18
576,19
577,19
578,24
579,24
580,23
581,18
582,25
583,23
584,18
585,25
586,20
587,18
588,20
589,18
590,20
591,23
592,23
593,18
594,20
595,25
596,20
597,24
598,22
599,22
600,20
601,6
602,7
603,8
604,12
605,7
606,6
607,7
608,9
609,18
610,23
611,20
612,22
613,22
614,22
615,25
616,19
617,25
618,22
619,24
620,21
621,18
622,19
623,25
624,21
625,19
626,21
627,25
628,22
629,25
630,20
631,22
632,19
633,23
634,20
635,25
636,23
637,19
638,19
639,20
640,22
641,7
642,11
643,8
644,8
645,12
646,7
647,10
648,11
649,23
650,22
651,21
652,18
653,22
654,21
655,25
656,20
657,19
658,21
659,21
660,24
661,24
662,19
663,19
664,19
665,21
666,24
667,19
668,21
669,24
670,20
671,19
672,24
673,23
674,23
675,21
676,18
677,25
678,20
679,22
680,20
681,10
